#{"t_start": 1629205224.2267869, "env_id": null}
r,l,t
-0.777778,3,18.782343
-9.888889,2,18.79796
-0.777778,3,18.79796
-9.888889,2,18.813586
-0.777778,3,18.826026
-9.555556,5,18.83415
-0.777778,3,18.848004
-9.666667,4,18.848004
-0.777778,3,18.863669
-0.777778,3,18.879292
-0.777778,3,18.879292
-0.777778,3,18.903483
-9.777778,3,18.913476
-0.777778,3,18.923399
-9.666667,4,18.933397
-0.777778,3,18.944366
-9.888889,2,18.949354
-0.777778,3,18.959271
-9.777778,3,18.967294
-9.777778,3,18.979212
-9.666667,4,18.989652
-9.666667,4,18.999657
-9.777778,3,19.036611
-9.888889,2,19.04446
-0.666667,4,19.055714
-0.777778,3,19.064733
-9.777778,3,19.072678
-9.888889,2,19.078116
-0.777778,3,19.087088
-9.888889,2,19.08833
-0.777778,3,19.08833
-9.777778,3,19.103994
-9.777778,3,19.103994
-0.777778,3,19.119617
-0.777778,3,19.135262
-9.555556,5,19.135262
-0.777778,3,19.150874
-9.777778,3,19.150874
0.444444,5,19.166502
-0.666667,4,19.166502
-9.777778,3,19.182121
-9.666667,4,19.197743
-0.777778,3,19.197743
-0.777778,3,19.213367
-9.888889,2,19.213367
-0.777778,3,19.228977
-9.777778,3,19.228977
-9.777778,3,19.244652
-9.888889,2,19.244652
-9.777778,3,19.244652
-0.777778,3,19.260238
-0.777778,3,19.275857
-9.777778,3,19.275857
-0.777778,3,19.291434
-0.777778,3,19.291434
-0.777778,3,19.307102
-9.777778,3,19.307102
-9.777778,3,19.32273
-0.777778,3,19.32273
-9.888889,2,19.338357
-9.888889,2,19.338357
-0.777778,3,19.353927
-9.555556,5,19.353927
-0.777778,3,19.369614
-9.888889,2,19.369614
-9.777778,3,19.414167
-9.666667,4,19.425074
-9.777778,3,19.433508
-9.777778,3,19.441531
-9.777778,3,19.450542
-9.666667,4,19.455599
-0.777778,3,19.455599
-9.777778,3,19.471268
-9.666667,4,19.471268
-9.888889,2,19.486918
-0.777778,3,19.486918
-9.666667,4,19.502516
-9.555556,5,19.518137
-0.777778,3,19.518137
-0.777778,3,19.533717
-0.777778,3,19.533717
-9.777778,3,19.549389
-0.777778,3,19.549389
0.444444,5,19.565012
-9.888889,2,19.565012
-9.777778,3,19.580635
-9.777778,3,19.580635
-9.666667,4,19.596261
-9.888889,2,19.596261
-0.666667,4,19.611898
-0.777778,3,19.611898
1.333333,4,19.627501
-9.555556,5,19.643159
-9.666667,4,19.643159
-0.777778,3,19.658743
-9.777778,3,19.658743
-9.666667,4,19.674376
-0.666667,4,19.674376
-9.888889,2,19.689998
-0.777778,3,19.689998
-9.777778,3,19.705621
-9.777778,3,19.705621
-9.777778,3,19.721247
-9.777778,3,19.752494
-9.888889,2,19.765074
-9.555556,5,19.777097
-9.777778,3,19.785065
-9.666667,4,19.796024
-9.777778,3,19.803999
-9.666667,4,19.805027
-0.777778,3,19.820706
-9.777778,3,19.820706
-0.777778,3,19.836346
